id,type,T,open,pressure,U,nx,ny,nz
wall_0F_1,wall,20,,,,,,
door_0F_1,pressure_outlet,20,True,-2.5,,0.0,1.0,0.0
wall_0F_2,wall,20,,,,,,
window_0F_2,pressure_inlet,20,True,2.5,,-0.677681028842926,-0.7353559732437134,0.0
vent_0F_2,pressure_outlet,20,True,0.0,,-0.161159485578537,0.3676779866218567,0.0
wall_0F_3,wall,20,,,,,,
wall_0F_4,wall,20,,,,,,
vent_0F_2,pressure_outlet,20,True,0.0,,,,
wall_0F_5,wall,20,,,,,,
wall_0F_6,wall,20,,,,,,
window_0F_1,pressure_inlet,20,True,2.5,,1.0,0.0,0.0
vent_0F_1,pressure_outlet,20,True,-0.4,,1.0,0.0,0.0
floor_0F,wall,20,,,,,,
ceil_0F,wall,20,,,,,,
stair_0F_1,wall,20,,,,,,
wall_1F_2,wall,20,,,,,,
wall_1F_5,wall,20,,,,,,
wall_1F_6,wall,20,,,,,,
door_1F_1,wall,20,,,,,,
wall_1F_7,wall,20,,,,,,
window_1F_1,pressure_inlet,20,True,2.5,,0.9991296529769897,0.04171311855316162,0.0
wall_1F_8,wall,20,,,,,,
wall_1F_9,wall,20,,,,,,
floor_1F,wall,20,,,,,,
ceil_1F,wall,20,,,,,,
stair_1F_1,wall,20,,,,,,
wall_2F_1,wall,20,,,,,,
window_2F_2,pressure_inlet,20,True,5.0,,0.338840514421463,-0.1323220133781433,0.0
window_2F_3,pressure_inlet,20,True,0.3,,-0.15706154704093933,0.30379408597946167,0.0
wall_2F_2,wall,20,,,,,,
window_2F_2,pressure_inlet,20,True,5.0,,,,
wall_2F_3,wall,20,,,,,,
door_2F_1,pressure_outlet,20,True,-2.5,,0.08634534478187561,0.9962652921676636,0.0
wall_2F_4,wall,20,,,,,,
window_2F_1,pressure_inlet,20,True,0.3,,0.5727781653404236,0.5154673457145691,0.0
wall_2F_5,wall,20,,,,,,
window_2F_1,pressure_inlet,20,True,0.3,,,,
wall_2F_6,wall,20,,,,,,
window_2F_3,pressure_inlet,20,True,0.3,,,,
floor_2F,wall,20,,,,,,
ceil_2F,wall,20,,,,,,
